"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Verify all major application routes render
the correct layout components.
","13092","test_all_defined_routes_render_correct_layout","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_28_layout_routes_rendering","",""
"
Verify Apply button state changes correctly based on note text.
","11115","test_note_save_button_validation","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_42","",""
"","9929","test_filter_clear_and_empty_state","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_45_filter_clear_and_empty_state","",""
"
Verify searching an order by Order ID displays the
correct search result and opens the correct order.
","7989","test_verify_search_order_by_order_id","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_14","",""
"
Test Case:
Tab order is reflected correctly in UI after multiple reorders

Objective:
Verify that:
- Multiple drag-and-drop reorder operations work correctly
- Tab bar always reflects latest logical order
- No tabs disappear or duplicate during reordering

Expected:
- UI order updates correctly after every drag
- All tabs remain visible
- No duplicate/missing tabs
","10355","test_multiple_tab_reorders_reflect_correct_ui_order","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_53_09_multiple_tab_reorders","",""
"","11797","test_customer_search_all_supported_fields","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_12","",""
"","13781","test_verify_address_suggestion_and_validation","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_08","",""
"","20053","test_manage_customer_addresses","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_07","",""
"","12003","test_order_detail_view","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_50","",""
"","11455","test_verify_order_notes_unique_per_order","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_41","",""
"
Test Case:
TUU-T796 - Save Search – Unique Name / Blank Name / Special Characters

Objective:
Verify that:
1. User can save search with unique name
2. Blank search name validation appears
3. Special character validation works correctly

Expected:
1. New tab saved successfully
2. Validation shown for blank name
3. Validation shown or special chars sanitized
","36282","test_save_search_validations","tests.regression","2026-07-08","broken","2026-07-08","","test_TC_24_save_named_search","",""
"","11658","test_verify_grand_total_calculation","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_52","",""
"","5597","test_reset_with_no_active_filters","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_35_reset_with_no_active_filters","",""
"
Verify only the Customer ID hyperlink navigates to
Customer Details.
","5960","test_customer_id_hyperlink_navigation","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_39","",""
"","12545","test_verify_note_save_with_optional_contact_details","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_43","",""
"
Test Case:
TUU-T793 - Saved Search Tab Applies Filters & Updates Table

Objective:
Verify that:
- Clicking a saved search tab applies filters
- Table data updates correctly
- Filter state is reflected in the UI

Expected:
- Filters applied instantly
- Table updates based on saved search criteria
","10697","test_saved_search_tab_applies_filters_updates_table","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_26_saved_search_tab_applies_filters_updates_table","",""
"","11646","test_sort_by_date_and_amount","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_36_order_sort_date_amount","",""
"
Verify clicking an order search suggestion navigates
to the correct order detail page.
","8310","test_verify_order_search_suggestion_navigation","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_15","",""
"","19860","test_pagination_next_previous_behavior","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_37_pagination_navigation","",""
"
Verify clicking an order record displays
order details in the right-hand pane.
","9689","test_verify_order_details_right_pane","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_19","",""
"","6959","test_navigate_to_order_list","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_47_order_navigation","",""
"","18825","test_saved_card_checkout","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_23","",""
"","8998","test_global_reset_clears_all_filters","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_40_global_reset_all","",""
"
Verify user can search for a customer and open the
Customer Detail screen.
","15067","test_search_customer_and_open_customer_detail","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_03","",""
"
Verify successful login and default application state.
","5531","test_login_with_valid_credentials","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_01","",""
"","6135","test_search_order_quick_action_activates_input","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_17_search_order_quick_action","",""
"","37029","test_close_active_tab_fallback","tests.regression","2026-07-08","broken","2026-07-08","","test_TC_32_close_active_tab_fallback","",""
"","20832","test_all_filter_types","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_18_all_filter_types","",""
"","11100","test_filter_icon_presence_and_control","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_33_filter_icon_and_control","",""
"","10732","test_verify_order_summary","tests.regression","2026-07-08","failed","2026-07-08","","test_TC_49","",""
"","7183","test_verify_customer_search_result_navigation","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_13","",""
"","6473","test_multiple_draft_order_tabs","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_54_10_multiple_draft_order_tabs","",""
"","6104","test_multiple_draft_order_tabs","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_31_multiple_draft_order_tabs","",""
"
Test Case:
Switching tabs updates breadcrumb
to match the newly active tab

Objective:
Verify that:
- Each tab maintains independent breadcrumb state
- Switching tabs updates breadcrumb immediately
- Breadcrumb matches active tab context

Expected:
- Tab A shows breadcrumb: Home > A
- Tab B shows breadcrumb: Home > B
- Breadcrumb updates correctly on tab switch
","5116","test_breadcrumb_updates_on_tab_switch","tests.regression","2026-07-08","passed","2026-07-08","","test_TC_55_11_breadcrumb_updates_on_tab_switch","",""
