"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Verify only the Customer ID hyperlink navigates to
Customer Details.
","5454","test_customer_id_hyperlink_navigation","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_39","",""
"","9042","test_multiple_column_filters_or_logic","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_34_multiple_filters_or_logic","",""
"
Verify successful login and default application state.
","4533","test_login_with_valid_credentials","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_01","",""
"","8566","test_sort_by_date_and_amount","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_36_order_sort_date_amount","",""
"","10839","test_order_detail_view","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_50","",""
"
Verify route protection and authentication-based
redirection behavior.
","11028","test_auth_route_redirection","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_27_auth_route_redirection","",""
"","36892","test_manage_customer_addresses","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_07","",""
"","4934","test_search_order_quick_action_activates_input","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_17_search_order_quick_action","",""
"","7406","test_order_list_accessible_and_renders","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_44_order_list_access","",""
"
Verify Apply button state changes correctly based on note text.
","6779","test_note_save_button_validation","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_42","",""
"
Verify Customer List accessibility through:
1. Sidebar navigation
2. Quick Actions

Verify all mandatory columns are visible and
Customer ID is clickable.
","7214","test_customer_list_accessible_via_sidebar_and_quick_search","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_38","",""
"","6113","test_navigate_to_order_list","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_47_order_navigation","",""
"
Test Case:
Switching tabs updates breadcrumb
to match the newly active tab

Objective:
Verify that:
- Each tab maintains independent breadcrumb state
- Switching tabs updates breadcrumb immediately
- Breadcrumb matches active tab context

Expected:
- Tab A shows breadcrumb: Home > A
- Tab B shows breadcrumb: Home > B
- Breadcrumb updates correctly on tab switch
","4368","test_breadcrumb_updates_on_tab_switch","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_55_11_breadcrumb_updates_on_tab_switch","",""
"","20348","test_on_account_checkout","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_21","",""
"","22369","test_add_new_card_from_change_payment","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_22","",""
"
Verify order number in the list is clickable and opens
the corresponding order detail page.
","8948","test_verify_order_number_hyperlink","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_20","",""
"","7938","test_verify_customer_search_result_navigation","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_13","",""
"","11917","test_customer_search_all_supported_fields","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_12","",""
"","9762","test_verify_preferred_node_distance_based_toggle","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_16","",""
"","17518","test_saved_card_checkout","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_23","",""
"","6750","test_close_active_tab_fallback","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_32","",""
"","14273","test_global_reset_all_filters","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_35","",""
"","5132","test_multiple_draft_order_tabs","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_54_10_multiple_draft_order_tabs","",""
"","14239","test_verify_address_suggestion_and_validation","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_08","",""
"","4502","test_multiple_draft_order_tabs","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_58_31_multiple_draft_order_tabs","",""
"
Verify clicking an order record displays
order details in the right-hand pane.
","8687","test_verify_order_details_right_pane","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_19","",""
"","7850","test_dashboard_layout_navigation","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_28","",""
"","15301","test_manage_customer_contacts","tests.regression","2026-07-13","failed","2026-07-13","","test_TC_06","",""
"
Test Case:
TUU-T796 - Save Search – Unique Name / Blank Name / Special Characters

Objective:
Verify that:
1. User can save search with unique name
2. Blank search name validation appears
3. Special character validation works correctly

Expected:
1. New tab saved successfully
2. Validation shown for blank name
3. Validation shown or special chars sanitized
","9136","test_save_search_validations","tests.regression","2026-07-13","passed","2026-07-13","","test_TC_24_save_named_search","",""
